idx	pmid	cancer_name_from_study	cohortsize	cancer_class	gene	ensemblid	mutation_type	element	num_of_mutations	mutatedsamplesize	somatic	germline	evidencetype	evidencemethod	adult_cancer	project_code	data_source_url	cancer_category	primary_site	cancer_full_name	solid_tumor	cancertype	project_source	first_author_first_name	first_author_last_name	journal_name	year	cosmic
23	25261935	PanCancer	863	primary/metastatic	BCL6	ENSG00000113916	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
24	25261935	PanCancer	863	primary/metastatic	BCL7A	ENSG00000110987	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
25	25261935	PanCancer	863	primary/metastatic	C16orf59	ENSG00000162062	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
26	25261935	PanCancer	863	primary/metastatic	C1orf159	ENSG00000131591	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
27	25261935	PanCancer	863	primary/metastatic	C2CD3	ENSG00000168014	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
28	25261935	PanCancer	863	primary/metastatic	C4orf27	ENSG00000056050	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
29	25261935	PanCancer	863	primary/metastatic	C7orf50	ENSG00000146540	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
30	25261935	PanCancer	863	primary/metastatic	C7orf55	ENSG00000164898	SNV	promoter	NA	11	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
31	25261935	PanCancer	863	primary/metastatic	C8orf37	ENSG00000156172	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
32	25261935	PanCancer	863	primary/metastatic	C8orf44	ENSG00000213865	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
33	25261935	PanCancer	863	primary/metastatic	C8orf44-SGK3	ENSG00000270024	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
34	25261935	PanCancer	863	primary/metastatic	CABLES2	ENSG00000149679	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
35	25261935	PanCancer	863	primary/metastatic	CACNA1C	ENSG00000151067	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
36	25261935	PanCancer	863	primary/metastatic	CBWD1	ENSG00000172785	SNV	promoter	NA	9	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
37	25261935	PanCancer	863	primary/metastatic	CCDC107	ENSG00000159884	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
38	25261935	PanCancer	863	primary/metastatic	CCDC144A	ENSG00000170160	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
39	25261935	PanCancer	863	primary/metastatic	CDC20	ENSG00000117399	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
40	25261935	PanCancer	863	primary/metastatic	CDH18	ENSG00000145526	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
41	25261935	PanCancer	863	primary/metastatic	CHMP3	ENSG00000115561	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
42	25261935	PanCancer	863	primary/metastatic	COL11A1	ENSG00000060718	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
43	25261935	PanCancer	863	primary/metastatic	CYLD	ENSG00000083799	SNV	promoter	NA	1	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
44	25261935	PanCancer	863	primary/metastatic	CYP4F2	ENSG00000186115	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
45	25261935	PanCancer	863	primary/metastatic	DERL1	ENSG00000136986	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
46	25261935	PanCancer	863	primary/metastatic	DHX16	ENSG00000227222	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
47	25261935	PanCancer	863	primary/metastatic	DIAPH1	ENSG00000131504	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
48	25261935	PanCancer	863	primary/metastatic	DIO2	ENSG00000211448	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
49	25261935	PanCancer	863	primary/metastatic	DISP1	ENSG00000154309	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
50	25261935	PanCancer	863	primary/metastatic	DLG2	ENSG00000150672	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
51	25261935	PanCancer	863	primary/metastatic	DLX4	ENSG00000108813	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
52	25261935	PanCancer	863	primary/metastatic	DNAH12	ENSG00000174844	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
53	25261935	PanCancer	863	primary/metastatic	DNAJA2	ENSG00000069345	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
54	25261935	PanCancer	863	primary/metastatic	DPH3	ENSG00000154813	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
55	25261935	PanCancer	863	primary/metastatic	EEF1A1	ENSG00000156508	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
56	25261935	PanCancer	863	primary/metastatic	EXOSC10	ENSG00000171824	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
57	25261935	PanCancer	863	primary/metastatic	EZH2	ENSG00000106462	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
58	25261935	PanCancer	863	primary/metastatic	FAM129C	ENSG00000167483	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
59	25261935	PanCancer	863	primary/metastatic	FAM27E2	ENSG00000204807	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
60	25261935	PanCancer	863	primary/metastatic	FANK1	ENSG00000203780	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
61	25261935	PanCancer	863	primary/metastatic	FCGR3B	ENSG00000162747	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
62	25261935	PanCancer	863	primary/metastatic	FKBP9	ENSG00000122642	SNV	promoter	NA	9	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
63	25261935	PanCancer	863	primary/metastatic	FTH1	ENSG00000167996	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
64	25261935	PanCancer	863	primary/metastatic	GABRP	ENSG00000094755	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
65	25261935	PanCancer	863	primary/metastatic	GALNT13	ENSG00000144278	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
66	25261935	PanCancer	863	primary/metastatic	GATS	ENSG00000239521	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
67	25261935	PanCancer	863	primary/metastatic	GNPTAB	ENSG00000111670	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
68	25261935	PanCancer	863	primary/metastatic	GOLGA2	ENSG00000167110	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
69	25261935	PanCancer	863	primary/metastatic	GPR89A	ENSG00000117262	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
70	25261935	PanCancer	863	primary/metastatic	GTF2I	ENSG00000077809	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
71	25261935	PanCancer	863	primary/metastatic	GTF3C5	ENSG00000148308	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
72	25261935	PanCancer	863	primary/metastatic	HCN1	ENSG00000164588	SNV	promoter	NA	10	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
73	25261935	PanCancer	863	primary/metastatic	HERC2	ENSG00000128731	SNV	promoter	NA	9	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
74	25261935	PanCancer	863	primary/metastatic	HKR1	ENSG00000181666	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
75	25261935	PanCancer	863	primary/metastatic	IFT172	ENSG00000138002	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
76	25261935	PanCancer	863	primary/metastatic	IGFBP7	ENSG00000163453	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
77	25261935	PanCancer	863	primary/metastatic	ILF2	ENSG00000143621	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
78	25261935	PanCancer	863	primary/metastatic	INSR	ENSG00000171105	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
79	25261935	PanCancer	863	primary/metastatic	INTS4	ENSG00000149262	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
80	25261935	PanCancer	863	primary/metastatic	ISOC2	ENSG00000063241	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
81	25261935	PanCancer	863	primary/metastatic	ITPR1	ENSG00000150995	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
82	25261935	PanCancer	863	primary/metastatic	ITPR3	ENSG00000096433	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
83	25261935	PanCancer	863	primary/metastatic	KALRN	ENSG00000160145	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
84	25261935	PanCancer	863	primary/metastatic	KIF3A	ENSG00000131437	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
85	25261935	PanCancer	863	primary/metastatic	KLRG1	ENSG00000139187	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
86	25261935	PanCancer	863	primary/metastatic	LENG9	ENSG00000182909	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
87	25261935	PanCancer	863	primary/metastatic	LEPROTL1	ENSG00000104660	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
88	25261935	PanCancer	863	primary/metastatic	LHX9	ENSG00000143355	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
89	25261935	PanCancer	863	primary/metastatic	LRRC4C	ENSG00000148948	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
90	25261935	PanCancer	863	primary/metastatic	LTV1	ENSG00000135521	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
91	25261935	PanCancer	863	primary/metastatic	LUC7L2	ENSG00000269955	SNV	promoter	NA	11	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
92	25261935	PanCancer	863	primary/metastatic	MAGEA3	ENSG00000221867	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
93	25261935	PanCancer	863	primary/metastatic	MAP2K2	ENSG00000126934	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
94	25261935	PanCancer	863	primary/metastatic	MAP3K13	ENSG00000073803	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
95	25261935	PanCancer	863	primary/metastatic	MASTL	ENSG00000120539	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
96	25261935	PanCancer	863	primary/metastatic	MED16	ENSG00000175221	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
97	25261935	PanCancer	863	primary/metastatic	MED20	ENSG00000124641	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
98	25261935	PanCancer	863	primary/metastatic	MEF2C	ENSG00000081189	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
99	25261935	PanCancer	863	primary/metastatic	MGRN1	ENSG00000102858	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
100	25261935	PanCancer	863	primary/metastatic	MPND	ENSG00000008382	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
101	25261935	PanCancer	863	primary/metastatic	MRPS9	ENSG00000135972	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
102	25261935	PanCancer	863	primary/metastatic	MTRNR2L1	ENSG00000256618	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
103	25261935	PanCancer	863	primary/metastatic	MTRNR2L8	ENSG00000255823	SNV	promoter	NA	2	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
